Taxa,family_ID,meanLPBL,meanUPB,meanRL,meanRD
P898012,P898012,56.5000000033333,50.0308205026057,198.5,9.55555555433333
PR1314_1001,P898012,99.5,39.0497969837815,325.111111133333,8.44444444466667
PR1314_1002,P898012,73.666666666,38.7481816809859,238.750000025,7.83333333325
PR1314_1003,P898012,52.5,48.043961349332,206,7.6666666665
PR1314_1004,P898012,57.916666665,33.2582487713032,248.83333335,7.9166666665
PR1314_1005,P898012,79.75,48.0722982018188,257.91666665,8.4166666665
PR1314_1006,P898012,50.5,44.2134971836655,193.8888889,8
PR1314_1007,P898012,49.4166666675,38.4431541829869,215.083333325,11.0555555556667
PR1314_1008,P898012,62.25,31.2113633401143,213.958333325,7.00000000025
PR1314_1009,P898012,69.166666674,67.6622153021865,229.8,9.8
PR1314_1010,P898012,101.833333328,25.4951349012244,266.79999998,8.2666666662
PR1314_1011,P898012,78.76666666,41.6216864747628,254.23333332,9.5333333328
PR1314_1012,P898012,88.233333334,48.1192064592444,243.4,9.1333333328
PR1314_1013,P898012,115.7083333325,51.0860203239197,331.7,8.633333334
PR1314_1014,P898012,79.16666667,27.66666667,292,7.666666667
PR1314_1015,P898012,87.5833333425,55.7709041771242,271.53333332,8.8666666668
PR1314_1016,P898012,73.9166666675,41.0333742745349,272.5,8
PR1314_1017,P898012,59.083333335,36.1918128764132,234.16666665,9.08333333325
PR1314_1018,P898012,59.5416666675,33.8793073450792,232.70833335,7.91666666675
PR1314_1019,P898012,67.566666668,43.6056941299536,233.66666668,8.8999999994
PR1314_1020,P898012,78.7083333325,32.7889491692067,270.666666675,7.41666666675
PR1314_1021,P898012,75.7222222233333,53.4699513922791,247.333333325,8.08333333325
PR1314_1022,P898012,62.7777777766667,55.5997538636301,192.1111111,8
PR1314_1023,P898012,73.875,50.0319298939472,245.583333325,10.0833333335
PR1314_1024,P898012,90.0555555333333,41.3862278458109,285.750000025,8.25000000075
PR1314_1025,P898012,80.666666666,48.1837260382088,288.80000002,8.2666666668
PR1314_1026,P898012,45.9583333325,35.0877010745672,191.33333335,7.66666666675
PR1314_1027,P898012,47.533333334,38.3575490181635,202.60000002,8.9333333328
PR1314_1028,P898012,60.766666668,35.1470719347378,266.666666675,8.375
PR1314_1029,P898012,70.699999998,33.7922488292905,251.83333334,5.9666666666
PR1314_1030,P898012,97.566666674,55.419863936291,298.53333334,9.0000000002
PR1314_1031,P898012,72.9583333325,37.3810647773072,274.40000002,8.0666666668
PR1314_1032,P898012,83.999999996,62.5268985472775,283.66666668,7.7999999994
PR1314_1033,P898012,73.6666666675,48.1794814004193,253.41666665,9.250000001
PR1314_1034,P898012,51.541666665,38.3663365948814,193.25,6.91666666675
PR1314_1035,P898012,71.133333334,38.3910459394313,249.26666666,7.2666666666
PR1314_1036,P898012,84.300000006,34.5174530738013,251,9.16666666675
